[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/26/2019
ScenarioTime,9:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
31,1,13783,-73346,0,,,,,,
39,0,13811,-51558,0,,,,,,
73,1,13593,-51555,0,,,,,,
74,1,14093,-51562,0,,,,,,
75,0,13807,-54543,0,,,,,,
76,1,13625,-54543,0,,,,,,
77,1,14017,-54544,0,,,,,,
78,0,13804,-56850,0,,,,,,
79,1,14052,-56853,0,,,,,,
80,0,13800,-59510,0,,,,,,
81,1,14084,-59519,0,,,,,,
82,0,13800,-62170,0,,,,,,
83,1,14177,-62169,0,,,,,,
84,0,13792,-67466,0,,,,,,
85,1,13536,-67466,0,,,,,,
86,1,14139,-67465,0,,,,,,
87,0,13784,-72776,0,,,,,,
88,1,13584,-72775,0,,,,,,
89,1,14142,-72779,0,,,,,,
97,1,13495,-68792,0,,,,,,
98,0,13780,-68780,0,,,,,,
106,1,13805,-51459,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB
Crosswalk Width,80,16,16,,16
Mandatory Distance,80,200,200,,200
Mandatory Distance2,80,1980,1980,,1980
Positioning Distance,80,1320,1320,,1320
Positioning Distance2,80,2640,2640,,2640
Curve Pt X,80,,,,
Curve Pt Y,80,,,,
Curve Pt Z,80,,,,
Link Is Hidden,80,false,false,,false
Street Name Is Hidden,80,false,false,,false
Up ID,81,,,80,
Lanes,81,,,1,
Name,81,,,E Hammer Ln,
Distance,81,,,284,
Speed,81,,,45,
Time,81,,,4.3,
Grade,81,,,0,
Median,81,,,0,
Offset,81,,,0,
TWLTL,81,,,0,
Crosswalk Width,81,,,16,
Mandatory Distance,81,,,200,
Mandatory Distance2,81,,,1980,
Positioning Distance,81,,,1320,
Positioning Distance2,81,,,2640,
Curve Pt X,81,,,,
Curve Pt Y,81,,,,
Curve Pt Z,81,,,,
Link Is Hidden,81,,,false,
Street Name Is Hidden,81,,,false,
Up ID,82,84,80,,83
Lanes,82,2,3,,1
Name,82,SR 95,SR 95,,Joy Ln
Distance,82,5296,2660,,377
Speed,82,45,45,,45
Time,82,80.2,40.3,,5.7
Grade,82,0,0,,0
Median,82,12,12,,12
Offset,82,0,0,,0
TWLTL,82,0,0,,0
Crosswalk Width,82,16,16,,16
Mandatory Distance,82,318,318,,318
Mandatory Distance2,82,1980,1980,,1980
Positioning Distance,82,1320,1320,,1320
Positioning Distance2,82,2640,2640,,2640
Curve Pt X,82,,,,
Curve Pt Y,82,,,,
Curve Pt Z,82,,,,
Link Is Hidden,82,false,false,,false
Street Name Is Hidden,82,false,false,,false
Up ID,83,,,82,
Lanes,83,,,1,
Name,83,,,Joy Ln,
Distance,83,,,377,
Speed,83,,,45,
Time,83,,,5.7,
Grade,83,,,0,
Median,83,,,0,
Offset,83,,,0,
TWLTL,83,,,0,
Crosswalk Width,83,,,16,
Mandatory Distance,83,,,200,
Mandatory Distance2,83,,,1980,
Positioning Distance,83,,,1320,
Positioning Distance2,83,,,2640,
Curve Pt X,83,,,,
Curve Pt Y,83,,,,
Curve Pt Z,83,,,,
Link Is Hidden,83,,,false,
Street Name Is Hidden,83,,,false,
Up ID,84,98,82,85,86
Lanes,84,4,4,3,2
Name,84,SR 95,SR 95,E Lipan Blvd,E Lipan Blvd
Distance,84,1314,5296,256,347
Speed,84,45,45,45,45
Time,84,19.9,80.2,3.9,5.3
Grade,84,0,0,0,0
Median,84,12,12,0,0
Offset,84,0,0,0,0
TWLTL,84,0,0,0,0
Crosswalk Width,84,16,16,16,16
Mandatory Distance,84,272,272,272,272
Mandatory Distance2,84,1980,1980,1980,1980
Positioning Distance,84,1320,1320,1320,1320
Positioning Distance2,84,2640,2640,2640,2640
Curve Pt X,84,,,,
Curve Pt Y,84,,,,
Curve Pt Z,84,,,,
Link Is Hidden,84,false,false,false,false
Street Name Is Hidden,84,false,false,false,false
Up ID,85,,,,84
Lanes,85,,,,2
Name,85,,,,E Lipan Blvd
Distance,85,,,,256
Speed,85,,,,45
Time,85,,,,3.9
Grade,85,,,,0
Median,85,,,,0
Offset,85,,,,0
TWLTL,85,,,,0
Crosswalk Width,85,,,,16
Mandatory Distance,85,,,,200
Mandatory Distance2,85,,,,1980
Positioning Distance,85,,,,1320
Positioning Distance2,85,,,,2640
Curve Pt X,85,,,,
Curve Pt Y,85,,,,
Curve Pt Z,85,,,,
Link Is Hidden,85,,,,false
Street Name Is Hidden,85,,,,false
Up ID,86,,,84,
Lanes,86,,,3,
Name,86,,,E Lipan Blvd,
Distance,86,,,347,
Speed,86,,,45,
Time,86,,,5.3,
Grade,86,,,0,
Median,86,,,0,
Offset,86,,,0,
TWLTL,86,,,0,
Crosswalk Width,86,,,16,
Mandatory Distance,86,,,200,
Mandatory Distance2,86,,,1980,
Positioning Distance,86,,,1320,
Positioning Distance2,86,,,2640,
Curve Pt X,86,,,,
Curve Pt Y,86,,,,
Curve Pt Z,86,,,,
Link Is Hidden,86,,,false,
Street Name Is Hidden,86,,,false,
Up ID,87,31,98,88,89
Lanes,87,3,3,3,3
Name,87,SR 95,SR 95,Boundary Cone Rd,Boundary Cone Rd
Distance,87,570,3996,200,358
Speed,87,45,45,45,45
Time,87,8.6,60.5,3.0,5.4
Grade,87,0,0,0,0
Median,87,12,12,12,12
Offset,87,0,0,0,0
TWLTL,87,0,0,0,0
Crosswalk Width,87,16,16,16,16
Mandatory Distance,87,284,284,284,284
Mandatory Distance2,87,1980,1980,1980,1980
Positioning Distance,87,1320,1320,1320,1320
Positioning Distance2,87,2640,2640,2640,2640
Curve Pt X,87,,,,
Curve Pt Y,87,,,,
Curve Pt Z,87,,,,
Link Is Hidden,87,false,false,false,false
Street Name Is Hidden,87,false,false,false,false
Up ID,88,,,,87
Lanes,88,,,,2
Name,88,,,,Boundary Cone Rd
Distance,88,,,,200
Speed,88,,,,45
Time,88,,,,3.0
Grade,88,,,,0
Median,88,,,,0
Offset,88,,,,0
TWLTL,88,,,,0
Crosswalk Width,88,,,,16
Mandatory Distance,88,,,,200
Mandatory Distance2,88,,,,1980
Positioning Distance,88,,,,1320
Positioning Distance2,88,,,,2640
Curve Pt X,88,,,,
Curve Pt Y,88,,,,
Curve Pt Z,88,,,,
Link Is Hidden,88,,,,false
Street Name Is Hidden,88,,,,false
Up ID,89,,,87,
Lanes,89,,,2,
Name,89,,,Boundary Cone Rd,
Distance,89,,,358,
Speed,89,,,45,
Time,89,,,5.4,
Grade,89,,,0,
Median,89,,,0,
Offset,89,,,0,
TWLTL,89,,,0,
Crosswalk Width,89,,,16,
Mandatory Distance,89,,,200,
Mandatory Distance2,89,,,1980,
Positioning Distance,89,,,1320,
Positioning Distance2,89,,,2640,
Curve Pt X,89,,,,
Curve Pt Y,89,,,,
Curve Pt Z,89,,,,
Link Is Hidden,89,,,false,
Street Name Is Hidden,89,,,false,
Up ID,97,,,,98
Lanes,97,,,,1
Name,97,,,,Fairway Vlg Blvd
Distance,97,,,,285
Speed,97,,,,45
Time,97,,,,4.3
Grade,97,,,,0
Median,97,,,,0
Offset,97,,,,0
TWLTL,97,,,,0
Crosswalk Width,97,,,,16
Mandatory Distance,97,,,,200
Mandatory Distance2,97,,,,1980
Positioning Distance,97,,,,1320
Positioning Distance2,97,,,,2640
Curve Pt X,97,,,,
Curve Pt Y,97,,,,
Curve Pt Z,97,,,,
Link Is Hidden,97,,,,false
Street Name Is Hidden,97,,,,false
Up ID,98,87,84,97,
Lanes,98,3,3,3,
Name,98,SR 95,SR 95,Fairway Vlg Blvd,
Distance,98,3996,1314,285,
Speed,98,45,45,45,
Time,98,60.5,19.9,4.3,
Grade,98,0,0,0,
Median,98,12,12,36,
Offset,98,0,0,0,
TWLTL,98,0,0,0,
Crosswalk Width,98,16,16,16,
Mandatory Distance,98,252,252,252,
Mandatory Distance2,98,1980,1980,1980,
Positioning Distance,98,1320,1320,1320,
Positioning Distance2,98,2640,2640,2640,
Curve Pt X,98,,,,
Curve Pt Y,98,,,,
Curve Pt Z,98,,,,
Link Is Hidden,98,false,false,false,
Street Name Is Hidden,98,false,false,false,
Up ID,106,39,,,
Lanes,106,2,,,
Name,106,SR 95,,,
Distance,106,99,,,
Speed,106,45,,,
Time,106,1.5,,,
Grade,106,0,,,
Median,106,0,,,
Offset,106,0,,,
TWLTL,106,0,,,
Crosswalk Width,106,16,,,
Mandatory Distance,106,200,,,
Mandatory Distance2,106,1980,,,
Positioning Distance,106,1320,,,
Positioning Distance2,106,2640,,,
Curve Pt X,106,,,,
Curve Pt Y,106,,,,
Curve Pt Z,106,,,,
Link Is Hidden,106,false,,,
Street Name Is Hidden,106,false,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,39,75,75,75,106,106,106,73,73,73,74,74,74,,
Dest Node,39,73,106,74,74,75,73,106,74,75,75,73,106,,
Lanes,39,1,2,0,1,2,0,1,1,0,1,1,0,,
Shared,39,0,2,,0,2,,0,2,,0,2,,,
Width,39,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,39,,,,,,,,,,,,,,
Taper,39,,,,,,,,,,,,,,
StLanes,39,,,,,,,,,,,,,,
Grade,39,,,,,,,,,,,,,,
Speed,39,,45,,,45,,,45,,,45,,,
Phase1,39,5,2,,1,6,,3,8,,7,4,,,
LostTime,39,6,5.3,4,6,5.3,4,6,5.1,4,5.9,5.9,4,,
Lost Time Adjust,39,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,39,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,39,1770,3518,0,1770,3532,0,1770,1712,0,1770,1669,0,,
SatFlowPerm,39,1770,3518,0,1770,3532,0,1770,1712,0,1770,1669,0,,
Allow RTOR,39,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,39,0,5,0,0,2,0,0,77,0,0,147,0,,
Volume,39,181,7732,300,214,4961,58,182,122,143,580,140,315,,
Peds,39,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,39,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,39,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,39,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,39,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,39,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,39,,0,,,0,,,0,,,0,,,
Distance,39,,2985,,,99,,,218,,,282,,,
TravelTime,39,,45.2,,,1.5,,,3.3,,,4.3,,,
Right Channeled,39,,,0,,,0,,,0,,,0,,
Alignment,39,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,39,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,39,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,39,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,39,20,100,,20,100,,20,100,,20,100,,,
LastDetect,39,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,39,5,2,,1,6,,3,8,,7,4,,,
DetectPhase2,39,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,39,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,39,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,39,0,0,,0,0,,0,0,,0,0,,,
numDetects,39,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,39,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,39,20,6,,20,6,,20,6,,20,6,,,
DetectType1,39,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,39,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,39,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,39,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,39,,94,,,94,,,94,,,94,,,
DetectSize2,39,,6,,,6,,,6,,,6,,,
DetectType2,39,,3,,,3,,,3,,,3,,,
DetectExtend2,39,,0,,,0,,,0,,,0,,,
Exit Lanes,39,,0,,,0,,,0,,,0,,,
CBD,39,,0,,,,,,,,,,,,
Lane Group Flow,39,197,8730,0,233,5455,0,198,288,0,630,494,0,,
Up Node,75,78,78,78,39,39,39,76,76,76,77,77,77,,
Dest Node,75,76,39,77,77,78,76,39,77,78,78,76,39,,
Lanes,75,1,2,0,1,2,0,1,1,0,1,1,0,,
Shared,75,0,2,,0,2,,0,2,,0,2,,,
Width,75,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,75,,,,,,,,,,,,,,
Taper,75,,,,,,,,,,,,,,
StLanes,75,,,,,,,,,,,,,,
Grade,75,,,,,,,,,,,,,,
Speed,75,,45,,,45,,,45,,,45,,,
Phase1,75,5,2,,1,6,,3,8,,7,4,,,
LostTime,75,4,5.3,4,4,5.4,4,4,5.8,4,4,5.9,4,,
Lost Time Adjust,75,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,75,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,75,1770,3522,0,1770,3536,0,1770,1690,0,1770,1723,0,,
SatFlowPerm,75,1770,3522,0,1770,3536,0,1770,1690,0,1770,1723,0,,
Allow RTOR,75,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,75,0,5,0,0,0,0,0,33,0,0,15,0,,
Volume,75,67,649,22,41,541,2,5,18,30,17,14,14,,
Peds,75,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,75,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,75,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,75,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,75,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,75,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,75,,0,,,0,,,0,,,0,,,
Distance,75,,2307,,,2985,,,182,,,210,,,
TravelTime,75,,35.0,,,45.2,,,2.8,,,3.2,,,
Right Channeled,75,,,0,,,0,,,0,,,0,,
Alignment,75,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,75,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,75,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,75,20,100,,20,100,,20,100,,20,100,,,
LastDetect,75,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,75,5,2,,1,6,,3,8,,7,4,,,
DetectPhase2,75,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,75,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,75,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,75,0,0,,0,0,,0,0,,0,0,,,
numDetects,75,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,75,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,75,20,6,,20,6,,20,6,,20,6,,,
DetectType1,75,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,75,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,75,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,75,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,75,,94,,,94,,,94,,,94,,,
DetectSize2,75,,6,,,6,,,6,,,6,,,
DetectType2,75,,3,,,3,,,3,,,3,,,
DetectExtend2,75,,0,,,0,,,0,,,0,,,
Exit Lanes,75,,0,,,0,,,0,,,0,,,
CBD,75,,0,,,,,,,,,,,,
Lane Group Flow,75,73,729,0,45,590,0,5,53,0,18,30,0,,
Up Node,78,,80,80,75,75,,,,,79,,79,,
Dest Node,78,,75,79,79,80,,,,,80,,75,,
Lanes,78,,3,0,1,2,,,,,2,,0,,
Shared,78,,2,,0,0,,,,,2,,,,
Width,78,,12,12,12,12,,,,,12,,12,,
Storage,78,,,,,,,,,,,,,,
Taper,78,,,,,,,,,,,,,,
StLanes,78,,,,,,,,,,,,,,
Grade,78,,,,,,,,,,,,,,
Speed,78,,45,,,45,,,,,45,,,,
Phase1,78,,2,,1,6,,,,,4,,,,
PermPhase1,78,,,,,,,,,,8,,,,
LostTime,78,,5.3,4,4,5.3,,,,,5.3,,4,,
Lost Time Adjust,78,,0,0,0,0,,,,,0,,0,,
IdealFlow,78,,1900,1900,1900,1900,,,,,1900,,1900,,
SatFlow,78,,5055,0,1770,3539,,,,,3204,,0,,
SatFlowPerm,78,,5055,0,1770,3539,,,,,3204,,0,,
Allow RTOR,78,,1,1,1,1,,,,,1,,1,,
SatFlowRTOR,78,,11,0,0,0,,,,,190,,0,,
Volume,78,,1536,61,79,1175,,,,,93,,175,,
Peds,78,,0,0,0,0,,,,,0,,0,,
Bicycles,78,,0,0,0,0,,,,,0,,0,,
PHF,78,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,
Growth,78,,100,100,100,100,,,,,100,,100,,
HeavyVehicles,78,,2,2,2,2,,,,,2,,2,,
BusStops,78,,0,0,0,0,,,,,0,,0,,
Midblock,78,,0,,,0,,,,,0,,,,
Distance,78,,2660,,,2307,,,,,248,,,,
TravelTime,78,,40.3,,,35.0,,,,,3.8,,,,
Right Channeled,78,,,0,,0,,,,,,,0,,
Alignment,78,,0,1,0,0,,,,,0,,1,,
Enter Blocked,78,,0,0,0,0,,,,,0,,0,,
HeadwayFact,78,,1.00,1.00,1.00,1.00,,,,,1.00,,1.00,,
Turning Speed,78,,60,9,15,60,,,,,15,,9,,
FirstDetect,78,,100,,20,100,,,,,20,,,,
LastDetect,78,,0,,0,0,,,,,0,,,,
DetectPhase1,78,,2,,1,6,,,,,4,,,,
DetectPhase2,78,,0,,0,0,,,,,0,,,,
DetectPhase3,78,,0,,0,0,,,,,0,,,,
DetectPhase4,78,,0,,0,0,,,,,0,,,,
SwitchPhase,78,,0,,0,0,,,,,0,,,,
numDetects,78,,2,,1,2,,,,,1,,,,
DetectPos1,78,,0,,0,0,,,,,0,,,,
DetectSize1,78,,6,,20,6,,,,,20,,,,
DetectType1,78,,3,,3,3,,,,,3,,,,
DetectExtend1,78,,0,,0,0,,,,,0,,,,
DetectQueue1,78,,0,,0,0,,,,,0,,,,
DetectDelay1,78,,0,,0,0,,,,,0,,,,
DetectPos2,78,,94,,,94,,,,,,,,,
DetectSize2,78,,6,,,6,,,,,,,,,
DetectType2,78,,3,,,3,,,,,,,,,
DetectExtend2,78,,0,,,0,,,,,,,,,
Exit Lanes,78,,0,,,0,,,,,0,,,,
CBD,78,,0,,,,,,,,,,,,
Lane Group Flow,78,,1736,0,86,1277,,,,,291,,0,,
Up Node,80,,82,82,78,78,,,,,81,,81,,
Dest Node,80,,78,81,81,82,,,,,82,,78,,
Lanes,80,,2,0,1,2,,,,,1,,0,,
Shared,80,,2,,0,0,,,,,2,,,,
Width,80,,12,12,12,12,,,,,12,,12,,
Storage,80,,,,,,,,,,,,,,
Taper,80,,,,,,,,,,,,,,
StLanes,80,,,,,,,,,,,,,,
Grade,80,,,,,,,,,,,,,,
Speed,80,,45,,,45,,,,,45,,,,
Phase1,80,,2,,,6,,,,,8,,,,
PermPhase1,80,,,,6,,,,,,,,,,
LostTime,80,,4.5,4,4.5,4.5,,,,,4.5,,4,,
Lost Time Adjust,80,,0,0,0,0,,,,,0,,0,,
IdealFlow,80,,1900,1900,1900,1900,,,,,1900,,1900,,
SatFlow,80,,3518,0,1770,3539,,,,,1668,,0,,
SatFlowPerm,80,,3518,0,414,3539,,,,,1668,,0,,
Allow RTOR,80,,1,1,1,1,,,,,1,,1,,
SatFlowRTOR,80,,10,0,0,0,,,,,21,,0,,
Volume,80,,1063,42,48,712,,,,,27,,52,,
Peds,80,,0,0,0,0,,,,,0,,0,,
Bicycles,80,,0,0,0,0,,,,,0,,0,,
PHF,80,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,
Growth,80,,100,100,100,100,,,,,100,,100,,
